Fort Collins Senior Center Gym Schedule,,,,,,,,,,,,,,,,,,,
Updated: 5/7/26,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,5/4,5/5,5/6,5/7,5/8,5/9,5/10,,Key,,,,,,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Open Gym,,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,,,,,,,,,Open Gym Unless Reserved,,,,"Badminton
6-10:15am",Basketball 6-8am,"Badminton
6-10:15am",Basketball 6-8am,"Badminton
6-10:15am",,
6:30 AM,,,,,,,,,Pre-registration required,,,,,,,,,,
7:00 AM,,,,,,,,,Drop-in Program,,,,,,,,,,
7:30 AM,,,,,,,,,Not available for use,,,,,,,,,,
8:00 AM,,,,,,,,,,,,,,Open Gym/                                         Reservable               8-10am,,Open Gym/                                         Reservable               8-10am,,"Novice Pickleball 
8-10am",Ladies Basketball 8-10am
8:30 AM,,,,,,,,,Pickleball Reservations,,,,,,,,,,
9:00 AM,,,,,,,,,"Due to limited space in pickleball sections, participants can pre-register for Pickleball 1 week at a time. Registration is available 7 am the Wednesday prior. Patrons can register for 1 pickleball section a day. Limited to 24 participants per 2 hour block.",,,,,,,,,,
9:30 AM,,,,Maintenance,,,,,,,,,,,,,,,
10:00 AM,,,,,,,,,,,,,Transition,"Novice Pickleball
10am-1pm",Transition,"Novice Pickleball
10am-1pm",Transition,"Pickleball 
Open Play 
10am-12pm",Basketball 10-12:15pm
10:30 AM,,,,Maintenance,,,,,,,,,"Pickleball
10:30am-12:30pm ",,"Pickleball
10:30am-12:30pm ",,"Pickleball
10:30am-12:30pm ",,
11:00 AM,,,,,,,,,,,,,,,,,,,
11:30 AM,,,,,,,,,,,,,,,,,,,
Noon,,,,Maintenance Closure,,,,,,,,,,,,,,Transition,Transition
12:30 PM,,,,,,,,,,,,,"Pickleball
12:30-2:30pm",,"Pickleball
12:30-2:30pm",,"Pickleball
12:30-2:30pm",Table Tennis 12:15-5pm,"Novice Pickleball 
12:30-2:30pm"
1:00 PM,,,,,,,,,Questions?,,,,,Transition,,Transition,,,
1:30 PM,,,,,,,,,Call: 970.221.6644,,,,,Table Tennis 1:15-4:30pm,,Table Tennis 1:15-3:45pm,,,
2:00 PM,,,,,,,,,Email: recreation@fcgov.com,,,,,,,,,,
2:30 PM,,,,,,,,,,,,2:30 PM,"Pickleball
2:30-4:30pm",,"Pickleball
2:30-4:30pm",,"Pickleball
2:30-4:30pm",,Transition
3:00 PM,,,,,,,,,,,,3:00 PM,,,,,,,Table Tennis 2:45-5pm
3:30 PM,,,,,,,,,,,,3:30 PM,,,,Transition,,,
4:00 PM,,,,,,,,,,,,4:00 PM,,,,Open Gym 4-5:45pm,,,
4:30 PM,,,,,,,,,,,,4:30 PM,"Pickleball
4:30-7:00pm",Open Gym,Transition,,Transition,,
5:00 PM,,,,,,,,,,,,5:00 PM,,,Basketball 4:45-7:30pm,,Volleyball 4:45-7:30pm,,
5:30 PM,,,,,,,,,,,,5:30 PM,,Transition,,Transition,,,
6:00 PM,,,,,,,,,,,,6:00 PM,,ARO Programs 5:45-7pm,,Badminton 6-9pm,,,
6:30 PM,,,,,,,,,,,,6:30 PM,,,,,,,
7:00 PM,,,,,,,,,,,,7:00 PM,Transition,Transition,,,,,
7:30 PM,,,,,,,,,,,,7:30 PM,"Open Gym/
Reservable 7:30-9pm","Open Gym/
Reservable 7:30-9pm","Open Gym/
Reservable 7:30-9pm",,"Open Gym/
Reservable 7:30-9pm",,
8:00 PM,,,,,,,,,,,,8:00 PM,,,,,,,
8:30 PM,,,,,,,,,,,,8:30 PM,,,,,,,
